metric,mapped_field,period,value
cf=j=,,col_1,-6
cf=j=,,col_2,-6
cf=j=,,col_3,
cf=j=,,col_4,-6
cf=j=,,col_5,-6
cf=j=,,col_6,
hDdf,,col_1,2924513.19
hDdf,,col_2,3293572.53
hDdf,,col_3,3278992.9
hDdf,,col_4,295422.02
hDdf,,col_5,3163006.46
hDdf,,col_6,22164535.0
"2,374,730",,col_1,18304440
"2,374,730",,col_2,2374730
"(403,704)",,col_1,-3111755
"(403,704)",,col_2,-403704
"1,971,026",,col_1,15192685
"1,971,026",,col_2,1971026
Particular,,col_1,162025
Particular,,col_2,152024
Particular,,col_3,162025
Particular,,col_4,152024
"891,969,825",,col_1,906373381
"420,463,355",,col_1,906373381
"271,758,235",,col_1,906373381
"990,439",,col_1,51672838
"990,439",,col_2,
"990,439",,col_3,2927143
"990,439",,col_4,294978
"990,439",,col_5,2339938
"990,439",,col_6,4984201
"990,439",,col_7,47054
"990,439",,col_8,768234
"990,439",,col_9,649052
"990,439",,col_10,199079
05,,col_1,5
05,,col_2,
05,,col_3,52
05,,col_4,52
05,,col_5,52
05,,col_6,52
05,,col_7,52
05,,col_8,52
05,,col_9,52
05,,col_10,52
"606,827,235",,col_1,196936571
"606,827,235",,col_2,
"606,827,235",,col_3,9635983
"606,827,235",,col_4,78011321
"606,827,235",,col_5,13633001
"606,827,235",,col_6,12827911
"606,827,235",,col_7,897315
"606,827,235",,col_8,524394
"606,827,235",,col_9,1452418
"606,827,235",,col_10,2386011
"300,835,916",,col_1,42510331
"300,835,916",,col_2,34967334
"300,835,916",,col_3,66307733
"300,835,916",,col_4,8173737
"300,835,916",,col_5,
"300,835,916",,col_6,4988842
"300,835,916",,col_7,
"743,499,964",,col_1,1279611
"743,499,964",,col_2,49154183
"743,499,964",,col_3,87279692
"743,499,964",,col_4,4634846
"743,499,964",,col_5,
"743,499,964",,col_6,64571431
"743,499,964",,col_7,33978
"973,363,12",,col_1,3171094
"973,363,12",,col_2,3748951
"973,363,12",,col_3,4644421
"973,363,12",,col_4,727172
"973,363,12",,col_5,
"973,363,12",,col_6,687116
"973,363,12",,col_7,33978
"869,036,844",,col_1,883070211
"869,036,844",,col_2,12764563
"869,036,844",,col_3,51825482
"869,036,844",,col_4,7362126
"869,036,844",,col_5,
"869,036,844",,col_6,6750821
"869,036,844",,col_7,
"179,861,860,1",,col_1,726580542
"179,861,860,1",,col_2,46632997
"179,861,860,1",,col_3,8132226
"179,861,860,1",,col_4,55368531
"179,861,860,1",,col_5,
"179,861,860,1",,col_6,35649251
"179,861,860,1",,col_7,59795002
"937,253,5",,col_1,7452971
"700,153,9",,col_1,4827685
"468,334,1",,col_1,233775
"086,59",,col_1,795921
"481,833,1",,col_1,537744
"129,482",,col_1,55518
"460,202,8",,col_1,6051735
4,,col_1,4
"080,385,31",,col_1,40596721
"846,403",,col_1,38728
"529,233",,col_1,4328865
"308,455,31",,col_1,3504617
"903,954,2",,col_1,9825505912
"903,954,2",,col_2,466115152
"529,131,7",,col_1,4053774641
"529,131,7",,col_2,2907889581
"996,583",,col_1,25797477
"996,583",,col_2,529785291
"142,71",,col_1,1589051
"142,71",,col_2,787468
"854,863",,col_1,99896957
"854,863",,col_2,19621427
"428,267,6",,col_1,8286767831
"428,267,6",,col_2,7619927661
"706,738,51",,col_1,4341768714
"706,738,51",,col_2,7147200647
"005,81",,col_1,139504
"005,81",,col_2,269308525
"479,336,6",,col_1,942543695
"479,336,6",,col_2,2755143083
"331,222,9",,col_1,6112372853
"331,222,9",,col_2,6085142814
noitaicerpeD,,col_1,520228021361
noitaicerpeD,,col_2,410838
noitaicerpeD,,col_3,410838
noitaicerpeD,,col_4,
kcolB ssorG,,col_1,280252026113
kcolB ssorG,,col_2,4754951
kcolB ssorG,,col_3,4754951
kcolB ssorG,,col_4,
"2,073,908,459",,col_1,2089336043
"2,073,908,459",,col_2,2220000000
"5,209,263,889",,col_1,2089336043
"5,209,263,889",,col_2,5900375900
"98,393,092",,col_1,168031110
"98,393,092",,col_2,98393092
"2,017,589",,col_1,81033092
"2,017,589",,col_2,251520
"1,846,561,246",,col_1,266246252
"1,846,561,246",,col_2,1781269090
"258,044,862",,col_1,674016561
"258,044,862",,col_2,192681471
Energy Sale and Purchase,,col_1,20810822024025
Energy Sale and Purchase,,col_2,
Energy Sale and Purchase,,col_3,
Energy Sale and Purchase,,col_4,20800812023024
Energy Sale and Purchase,,col_5,
Energy Sale and Purchase,,col_6,
Royalty based on,,col_1,
Royalty based on,,col_2,20810822024025
Royalty based on,,col_3,20800812023024
Description,,col_1,20770782020021
Description,,col_2,20780792021022
Description,,col_3,20790802022023
Description,,col_4,20800812023024
Description,,col_5,20810822024025
